"State","Population"
Alabama,"4,849,377"
Alaska,"736,732"
Arizona,"6,731,484"
Arkansas,"2,966,369"
California,"38,802,500"
Colorado,"5,355,866"
Connecticut,"3,596,677"
Delaware,"935,614"
District of Columbia,"658,893"
Florida,"19,893,297"
Georgia,"10,097,343"
Hawaii,"1,419,561"
Idaho,"1,634,464"
Illinois,"12,880,580"
Indiana,"6,596,855"
Iowa,"3,107,126"
Kansas,"2,904,021"
Kentucky,"4,413,457"
Louisiana,"4,649,676"
Maine,"1,330,089"
Maryland,"5,976,407"
Massachusetts,"6,745,408"
Michigan,"9,909,877"
Minnesota,"5,457,173"
Mississippi,"2,994,079"
Missouri,"6,063,589"
Montana,"1,023,579"
Nebraska,"1,881,503"
Nevada,"2,839,099"
New Hampshire,"1,326,813"
New Jersey,"8,938,175"
New Mexico,"2,085,572"
New York,"19,746,227"
North Carolina,"9,943,964"
North Dakota,"739,482"
Ohio,"11,594,163"
Oklahoma,"3,878,051"
Oregon,"3,970,239"
Pennsylvania,"12,787,209"
Rhode Island,"1,055,173"
South Carolina,"4,832,482"
South Dakota,"853,175"
Tennessee,"6,549,352"
Texas,"26,956,958"
Utah,"2,942,902"
Vermont,"626,562"
Virginia,"8,326,289"
Washington,"7,061,530"
West Virginia,"1,850,326"
Wisconsin,"5,757,564"
Wyoming,"584,153"
Puerto Rico,"3,548,397"
